arm,seeds,mAP50_mean,mAP50_std,mAP50-95_mean,mAP50-95_std,precision,recall,f1,delta_vs_B2
A' joint balanced,3,0.8451,0.0033,0.5206,0.0017,0.857,0.805,0.830,+1.00
B2 COCO baseline,3,0.8351,0.0020,0.5055,0.0022,0.857,0.783,0.818,ref
Frozen backbone,3,0.8342,0.0039,0.5074,0.0035,0.855,0.774,0.812,-0.09
Synthetic 20ep,3,0.8344,0.0033,0.5011,0.0065,0.855,0.773,0.812,-0.08
Synthetic 10ep,1,0.8295,0.0000,0.4969,0.0000,0.858,0.754,0.803,-0.56
A' v4 sequential 100ep,3,0.8221,0.0085,0.4933,0.0059,0.828,0.769,0.797,-1.31
Joint unbalanced 7/93,1,0.8145,0.0000,0.4820,0.0000,0.813,0.768,0.790,-2.06
InaTech direct 10ep,1,0.8200,0.0000,0.4999,0.0000,0.869,0.742,0.800,-1.51
InaTech direct 20ep,1,0.8171,0.0000,0.4960,0.0000,0.853,0.755,0.801,-1.80
InaTech direct 50ep,1,0.8037,0.0000,0.4731,0.0000,0.845,0.749,0.794,-3.14
B1 random init,3,0.8008,0.0061,0.4742,0.0006,0.829,0.750,0.787,-3.43
B random direct,3,0.7945,0.0046,0.4728,0.0045,0.858,0.742,0.796,-4.06
A curated direct,3,0.7936,0.0049,0.4692,0.0017,0.834,0.735,0.781,-4.15
