arm,seed,mAP50,mAP50-95,precision,recall,f1
B1 random init,42,0.7959,0.4737,0.827,0.751,0.788
B1 random init,123,0.7971,0.4750,0.826,0.751,0.787
B1 random init,2024,0.8094,0.4738,0.833,0.747,0.787
B2 COCO,42,0.8367,0.5062,0.864,0.780,0.820
B2 COCO,123,0.8364,0.5078,0.853,0.788,0.819
B2 COCO,2024,0.8323,0.5026,0.854,0.779,0.815
A curated,42,0.8006,0.4680,0.830,0.742,0.783
A curated,123,0.7901,0.4680,0.845,0.717,0.776
A curated,2024,0.7902,0.4716,0.827,0.746,0.784
B random,42,0.7997,0.4711,0.859,0.732,0.791
B random,123,0.7952,0.4790,0.857,0.751,0.801
B random,2024,0.7886,0.4683,0.852,0.718,0.789
A' v4 sequential,42,0.8168,0.4871,0.809,0.765,0.786
A' v4 sequential,123,0.8340,0.5012,0.852,0.782,0.815
A' v4 sequential,2024,0.8153,0.4917,0.823,0.759,0.789
Frozen backbone,42,0.8377,0.5103,0.857,0.784,0.819
Frozen backbone,123,0.8362,0.5095,0.854,0.774,0.812
Frozen backbone,2024,0.8288,0.5025,0.854,0.763,0.806
Synthetic 20ep,42,0.8389,0.5102,0.860,0.780,0.818
Synthetic 20ep,123,0.8315,0.4974,0.857,0.756,0.803
Synthetic 20ep,2024,0.8327,0.4956,0.847,0.782,0.813
Joint balanced,42,0.8496,0.5216,0.867,0.801,0.833
Joint balanced,123,0.8439,0.5219,0.851,0.808,0.829
Joint balanced,2024,0.8417,0.5181,0.854,0.807,0.830
