arm,seed,bin,y_lo,y_hi,n_gt,AP,AP50,AP75,AR,AR50
B2 (COCO),42,0,0.0,0.4499,250,0.47859671581372987,0.8142792673669418,0.4702852203689877,0.5636,0.904
B2 (COCO),42,1,0.4499,0.6221,747,0.5051854609918235,0.8192256433827805,0.5394307373737457,0.5931726907630521,0.9022757697456493
B2 (COCO),42,2,0.6221,1.0,250,0.5207146884351423,0.8553944080306928,0.565516808975369,0.5888000000000001,0.912
B2 (COCO),123,0,0.0,0.4499,250,0.47432428212853806,0.8158926990329038,0.47914088237254776,0.5656,0.908
B2 (COCO),123,1,0.4499,0.6221,747,0.5215017135201052,0.8368552677521766,0.5680814736992713,0.6080321285140562,0.9210174029451138
B2 (COCO),123,2,0.6221,1.0,250,0.5042685335866499,0.8258533410393736,0.5153668114801048,0.5691999999999999,0.872
B2 (COCO),2024,0,0.0,0.4499,250,0.47849269095656083,0.8196930625063725,0.48407855379759285,0.5604,0.9
B2 (COCO),2024,1,0.4499,0.6221,747,0.5005003487544042,0.8126568305582416,0.54713681885133,0.5970548862115127,0.9062918340026773
B2 (COCO),2024,2,0.6221,1.0,250,0.5141546141925618,0.8591696346540602,0.5570014140388092,0.588,0.916
A' joint,42,0,0.0,0.4499,250,0.48961697530330933,0.813389831542578,0.5292456049664886,0.5784,0.896
A' joint,42,1,0.4499,0.6221,747,0.5303020265743262,0.8469234559451307,0.5840011679308534,0.6156626506024094,0.9303882195448461
A' joint,42,2,0.6221,1.0,250,0.5160112114711393,0.8547499075130657,0.549048546830018,0.5851999999999999,0.912
A' joint,123,0,0.0,0.4499,250,0.5019432494759772,0.8263715995137882,0.5374859263210208,0.5684,0.896
A' joint,123,1,0.4499,0.6221,747,0.5281201775270602,0.8470521325481143,0.5853730412460025,0.6182061579651941,0.9330655957161981
A' joint,123,2,0.6221,1.0,250,0.5111488669990648,0.8160487636326338,0.5468931496207781,0.5847999999999999,0.872
A' joint,2024,0,0.0,0.4499,250,0.4958554168362113,0.8126779128720998,0.5141456795628463,0.5744,0.884
A' joint,2024,1,0.4499,0.6221,747,0.5221667531688446,0.8364060825915928,0.5788334287942533,0.6084337349397589,0.9210174029451138
A' joint,2024,2,0.6221,1.0,250,0.5225168594912902,0.8334740251277871,0.5600645081138005,0.5956,0.892
A' joint-rand,42,0,0.0,0.4499,250,0.5070483295800003,0.8102155127796623,0.539360359718776,0.5839999999999999,0.888
A' joint-rand,42,1,0.4499,0.6221,747,0.5297578520380551,0.8425178682682901,0.5752171421198928,0.6101740294511379,0.9156626506024096
A' joint-rand,42,2,0.6221,1.0,250,0.5105257264534662,0.8447991432124222,0.523808251332179,0.5848,0.908
A' joint-rand,123,0,0.0,0.4499,250,0.49837557520473835,0.7999946062529555,0.5456516227598528,0.584,0.896
A' joint-rand,123,1,0.4499,0.6221,747,0.5207325658015874,0.8313315334764128,0.5638536252257242,0.6089692101740294,0.9210174029451138
A' joint-rand,123,2,0.6221,1.0,250,0.5169806395981089,0.8534781409379955,0.5270649566499135,0.59,0.916
A' joint-rand,2024,0,0.0,0.4499,250,0.5046353062007389,0.8353875242041584,0.5400402681597811,0.5768,0.904
A' joint-rand,2024,1,0.4499,0.6221,747,0.5246246042082177,0.8365573712334915,0.5836429883310562,0.6061579651941097,0.9196787148594378
A' joint-rand,2024,2,0.6221,1.0,250,0.5164807837363964,0.8488775578812338,0.544080203631004,0.5983999999999999,0.928
