arm,seed,bin,y_lo,y_hi,n_gt,AP,AP50,AP75,AR,AR50
B2 (COCO),42,0,0.0,0.4499,43,0.6685258297480502,0.9080171175012237,0.791945410757292,0.7162790697674419,0.9302325581395349
B2 (COCO),42,1,0.4499,0.6221,147,0.6562451628348916,0.8661850715877654,0.7663887504248967,0.7537414965986395,0.9387755102040817
B2 (COCO),42,2,0.6221,1.0,61,0.6418426310174583,0.8390781655587612,0.7720927027931396,0.7049180327868851,0.8852459016393442
B2 (COCO),123,0,0.0,0.4499,43,0.6650578734989,0.9141163425537161,0.7676469363183459,0.7232558139534884,0.9534883720930233
B2 (COCO),123,1,0.4499,0.6221,147,0.6778242640551244,0.8682223231746676,0.8062556527365354,0.7605442176870749,0.9319727891156463
B2 (COCO),123,2,0.6221,1.0,61,0.6353168892722656,0.8327928385940059,0.711412728185705,0.6885245901639344,0.8688524590163934
B2 (COCO),2024,0,0.0,0.4499,43,0.705296583111558,0.9346202354789254,0.8527576948068248,0.7441860465116279,0.9534883720930233
B2 (COCO),2024,1,0.4499,0.6221,147,0.6365898722491407,0.8210772397387195,0.7604532458613078,0.7401360544217688,0.9047619047619048
B2 (COCO),2024,2,0.6221,1.0,61,0.6221402353232286,0.8298421534083156,0.7214932048599906,0.680327868852459,0.8524590163934426
A' joint,42,0,0.0,0.4499,43,0.7172899060806219,0.9405794237960382,0.9063942979663818,0.7511627906976744,0.9534883720930233
A' joint,42,1,0.4499,0.6221,147,0.677891293283806,0.8714926778373334,0.8309347944888492,0.75578231292517,0.9319727891156463
A' joint,42,2,0.6221,1.0,61,0.6408323092412368,0.8484839105586013,0.696185973378341,0.6967213114754098,0.8852459016393442
A' joint,123,0,0.0,0.4499,43,0.7147027062787354,0.9294856314899782,0.8301599390708301,0.7325581395348837,0.9302325581395349
A' joint,123,1,0.4499,0.6221,147,0.6694730096770692,0.8615883833993303,0.8110725693983046,0.7693877551020408,0.9455782312925171
A' joint,123,2,0.6221,1.0,61,0.6338050459239246,0.8123365495685935,0.7201640661539669,0.6950819672131148,0.8524590163934426
A' joint,2024,0,0.0,0.4499,43,0.7047158347310637,0.9345707503081133,0.8526012271872617,0.741860465116279,0.9534883720930233
A' joint,2024,1,0.4499,0.6221,147,0.6746029592319187,0.8756536010817371,0.8025648646052578,0.754421768707483,0.9319727891156463
A' joint,2024,2,0.6221,1.0,61,0.6193033127706985,0.8048001104000916,0.7111141102891512,0.6868852459016395,0.8524590163934426
A' joint-rand,42,0,0.0,0.4499,43,0.748820459692818,0.9495740271701588,0.8990679287708991,0.7790697674418605,0.9534883720930233
A' joint-rand,42,1,0.4499,0.6221,147,0.6679989053313707,0.8518235723625154,0.7780048708166374,0.7482993197278912,0.9183673469387755
A' joint-rand,42,2,0.6221,1.0,61,0.636432579189177,0.850665532664804,0.7178338629375683,0.7,0.8852459016393442
A' joint-rand,123,0,0.0,0.4499,43,0.7248453828341205,0.9378729569589845,0.9091718774688845,0.7627906976744186,0.9534883720930233
A' joint-rand,123,1,0.4499,0.6221,147,0.6617162384784242,0.8511184402086929,0.7821922013739588,0.7462585034013605,0.9251700680272109
A' joint-rand,123,2,0.6221,1.0,61,0.6303033698859031,0.8300026501249564,0.6959755622632873,0.6901639344262295,0.8688524590163934
A' joint-rand,2024,0,0.0,0.4499,43,0.7401039030665313,0.9488495644799875,0.9481924936679714,0.7697674418604652,0.9534883720930233
A' joint-rand,2024,1,0.4499,0.6221,147,0.6724850381669899,0.8700525417490983,0.7897744839320457,0.74421768707483,0.9251700680272109
A' joint-rand,2024,2,0.6221,1.0,61,0.6637937507075575,0.8844639727800355,0.7440477121583378,0.740983606557377,0.9344262295081968
