arm,seed,bin,y_lo,y_hi,n_gt,AP,AP50,AP75,AR,AR50
B2 (COCO),42,0,0.0,0.4499,119,0.49380567250993007,0.8153142750779132,0.5155178813538688,0.6260504201680672,0.9327731092436975
B2 (COCO),42,1,0.4499,0.6221,359,0.5497415470931935,0.8327935436972052,0.6386716536371667,0.6295264623955431,0.8997214484679665
B2 (COCO),42,2,0.6221,1.0,123,0.5317862005642481,0.8759924348600415,0.5837612069071416,0.6252032520325204,0.9349593495934959
B2 (COCO),123,0,0.0,0.4499,119,0.49047169804025886,0.8336846030545393,0.5165490306146696,0.5949579831932773,0.9327731092436975
B2 (COCO),123,1,0.4499,0.6221,359,0.5613569468614173,0.856789936710064,0.6668713099197875,0.6428969359331476,0.9220055710306406
B2 (COCO),123,2,0.6221,1.0,123,0.5337512832484396,0.8733659150408108,0.5696683314516315,0.6056910569105691,0.9024390243902439
B2 (COCO),2024,0,0.0,0.4499,119,0.4828974844516243,0.8384024558477844,0.47513610568295717,0.5907563025210085,0.9327731092436975
B2 (COCO),2024,1,0.4499,0.6221,359,0.5291635791320316,0.8063660363152543,0.6382677909659591,0.6292479108635096,0.9080779944289693
B2 (COCO),2024,2,0.6221,1.0,123,0.5206038375087652,0.8294296183778501,0.5872397505847037,0.6308943089430895,0.9186991869918699
A' joint,42,0,0.0,0.4499,119,0.5044424300907079,0.8197479724934952,0.5937247294170087,0.6260504201680672,0.9243697478991597
A' joint,42,1,0.4499,0.6221,359,0.5663514768021647,0.8448399366785401,0.6782580002768135,0.6506963788300836,0.9220055710306406
A' joint,42,2,0.6221,1.0,123,0.5213664088793036,0.8614070762219987,0.6110601381056942,0.6162601626016259,0.9186991869918699
A' joint,123,0,0.0,0.4499,119,0.5221093842253541,0.834642259246838,0.5803168829384572,0.6210084033613446,0.9243697478991597
A' joint,123,1,0.4499,0.6221,359,0.5642955434824787,0.8453459136530532,0.6875993049840254,0.6409470752089137,0.9108635097493036
A' joint,123,2,0.6221,1.0,123,0.5198916077364378,0.864829985699397,0.5730618783787794,0.6235772357723578,0.9105691056910569
A' joint,2024,0,0.0,0.4499,119,0.5076535371738917,0.8239319708908998,0.5644301011522459,0.6268907563025209,0.9411764705882353
A' joint,2024,1,0.4499,0.6221,359,0.5521902555076112,0.8282903870885051,0.6677053485067599,0.6342618384401114,0.8941504178272981
A' joint,2024,2,0.6221,1.0,123,0.5234026601079571,0.8553205701701924,0.5714615230880076,0.6089430894308944,0.9024390243902439
A' joint-rand,42,0,0.0,0.4499,119,0.5255664353944967,0.8290918420791111,0.5910320053584863,0.6445378151260504,0.9411764705882353
A' joint-rand,42,1,0.4499,0.6221,359,0.5505630784292999,0.8208421562579851,0.6555814752685759,0.6381615598885795,0.8997214484679665
A' joint-rand,42,2,0.6221,1.0,123,0.5126303259237559,0.8470616587700847,0.5601143808903886,0.608130081300813,0.9186991869918699
A' joint-rand,123,0,0.0,0.4499,119,0.5191533873941964,0.8256499260799149,0.5818764500480685,0.6428571428571428,0.9495798319327731
A' joint-rand,123,1,0.4499,0.6221,359,0.5544172009931384,0.8284324762601124,0.654327411909605,0.6423398328690808,0.9052924791086351
A' joint-rand,123,2,0.6221,1.0,123,0.5135344260629797,0.844351266702966,0.5347200598280498,0.6203252032520326,0.9186991869918699
A' joint-rand,2024,0,0.0,0.4499,119,0.524377998803265,0.842040530116383,0.5564488520727032,0.626890756302521,0.9243697478991597
A' joint-rand,2024,1,0.4499,0.6221,359,0.5614667527689352,0.8386390567683045,0.6971929421348931,0.6484679665738162,0.9164345403899722
A' joint-rand,2024,2,0.6221,1.0,123,0.5530652665492277,0.905803474038731,0.6119329065489547,0.6325203252032521,0.9512195121951219
