arm,seed,bin,y_lo,y_hi,n_gt,AP,AP50,AP75,AR,AR50
B2 (COCO),42,0,0.0,0.4499,88,0.18162694601340323,0.4350280835942787,0.08785765446406017,0.3170454545454545,0.6931818181818182
B2 (COCO),42,1,0.4499,0.6221,241,0.21634570669684078,0.49777885043542713,0.16438898792886,0.37302904564315353,0.7510373443983402
B2 (COCO),42,2,0.6221,1.0,66,0.22149353063986763,0.5306605514378505,0.14622922216717701,0.346969696969697,0.7424242424242424
B2 (COCO),123,0,0.0,0.4499,88,0.19935928032077732,0.45100563862284715,0.14235586532042271,0.3784090909090909,0.7272727272727273
B2 (COCO),123,1,0.4499,0.6221,241,0.22521059380178518,0.5204646043958114,0.14996378156220252,0.4016597510373444,0.7925311203319502
B2 (COCO),123,2,0.6221,1.0,66,0.19155804716439945,0.524382152083511,0.08155744145843155,0.33333333333333337,0.7272727272727273
B2 (COCO),2024,0,0.0,0.4499,88,0.18145476552704104,0.4218009545911557,0.11433857015051332,0.33522727272727276,0.6931818181818182
B2 (COCO),2024,1,0.4499,0.6221,241,0.22388099420725974,0.5256967696936866,0.15545523796798777,0.3817427385892116,0.7676348547717843
B2 (COCO),2024,2,0.6221,1.0,66,0.20198153295104085,0.5847179194994537,0.1233787696546883,0.3393939393939394,0.803030303030303
A' joint,42,0,0.0,0.4499,88,0.19864873514063805,0.4510333040871359,0.09493401149324543,0.34431818181818186,0.6931818181818182
A' joint,42,1,0.4499,0.6221,241,0.23490872267953705,0.5374838790633227,0.1546063862895342,0.4024896265560166,0.8008298755186722
A' joint,42,2,0.6221,1.0,66,0.22965041777953824,0.5772264996150501,0.1578581386553999,0.3606060606060606,0.803030303030303
A' joint,123,0,0.0,0.4499,88,0.20308556747797862,0.5013159485372961,0.11866673650786655,0.35,0.7386363636363636
A' joint,123,1,0.4499,0.6221,241,0.2417892347696446,0.5513845606415698,0.171552274876482,0.4219917012448133,0.8257261410788381
A' joint,123,2,0.6221,1.0,66,0.18170262338944485,0.42627188438254926,0.11639737393244345,0.3303030303030303,0.6818181818181818
A' joint,2024,0,0.0,0.4499,88,0.20696117435299638,0.4538128490929836,0.09840514743423948,0.3352272727272727,0.6477272727272727
A' joint,2024,1,0.4499,0.6221,241,0.2417706461960698,0.5425921332968591,0.19052572382428687,0.41659751037344395,0.8091286307053942
A' joint,2024,2,0.6221,1.0,66,0.22548733128698978,0.5255415703522738,0.1820294447598231,0.3818181818181818,0.7575757575757576
A' joint-rand,42,0,0.0,0.4499,88,0.21116780486954942,0.46533008089208905,0.12701830326760533,0.34318181818181814,0.6818181818181818
A' joint-rand,42,1,0.4499,0.6221,241,0.24031444484738324,0.542346839335601,0.1686688744022588,0.3970954356846473,0.7883817427385892
A' joint-rand,42,2,0.6221,1.0,66,0.22532900700083433,0.5551192088995022,0.1321181353334241,0.3696969696969697,0.7727272727272727
A' joint-rand,123,0,0.0,0.4499,88,0.23439637602325394,0.48016489440388777,0.19431350110767304,0.3670454545454545,0.7159090909090909
A' joint-rand,123,1,0.4499,0.6221,241,0.24037614898586082,0.547827815196788,0.1630458255085545,0.4012448132780083,0.8091286307053942
A' joint-rand,123,2,0.6221,1.0,66,0.2071752011666457,0.5309766117887942,0.14715721448112887,0.34393939393939393,0.7575757575757576
A' joint-rand,2024,0,0.0,0.4499,88,0.21157270059011943,0.49899233038390656,0.16000619640168895,0.3340909090909091,0.7159090909090909
A' joint-rand,2024,1,0.4499,0.6221,241,0.23151226604269556,0.5271736068745986,0.15537953617380235,0.3950207468879668,0.7925311203319502
A' joint-rand,2024,2,0.6221,1.0,66,0.20393510456847316,0.5081576848699185,0.12813318186706738,0.3712121212121212,0.8181818181818182
